,DrugName,ActiveIngredient
0,PAREDRINE,HYDROXYAMPHETAMINE HYDROBROMIDE
1,SULFAPYRIDINE,SULFAPYRIDINE
2,LIQUAEMIN SODIUM,HEPARIN SODIUM
7,LIQUAEMIN LOCK FLUSH,HEPARIN SODIUM
8,HEPARIN SODIUM,HEPARIN SODIUM
11,LIQUAEMIN SODIUM PRESERVATIVE FREE,HEPARIN SODIUM
14,HISTAMINE PHOSPHATE,HISTAMINE PHOSPHATE
17,BUTISOL SODIUM,BUTABARBITAL SODIUM
21,DOCA,DESOXYCORTICOSTERONE ACETATE
22,VERARD,VERARD
23,GUANIDINE HYDROCHLORIDE,GUANIDINE HYDROCHLORIDE
24,MENADIONE,MENADIONE
25,INULIN AND SODIUM CHLORIDE,INULIN
26,AMINOPHYLLIN,AMINOPHYLLINE
28,BENSULFOID,SULFUR
29,ORETON METHYL,METHYLTESTOSTERONE
31,METANDREN,METHYLTESTOSTERONE
35,PITRESSIN TANNATE,VASOPRESSIN TANNATE
36,DRISDOL,ERGOCALCIFEROL
37,SYNKAYVITE,MENADIOL SODIUM DIPHOSPHATE
41,THEELIN,ESTRONE
44,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL
55,SULFADIAZINE,SULFADIAZINE
56,SULFADIAZINE SODIUM,SULFADIAZINE SODIUM
57,STILBESTROL,DIETHYLSTILBESTROL
63,STILBETIN,DIETHYLSTILBESTROL
77,ALCOHOL 5% AND DEXTROSE 5%,ALCOHOL; DEXTROSE
78,ALCOHOL 10% AND DEXTROSE 5%,ALCOHOL; DEXTROSE
79,PREMARIN,"ESTROGENS, CONJUGATED"
85,DEMEROL,MEPERIDINE HYDROCHLORIDE
92,PERCORTEN,DESOXYCORTICOSTERONE ACETATE
93,HYCODAN,HOMATROPINE METHYLBROMIDE; HYDROCODONE BITARTRATE
95,PANHEPRIN,HEPARIN SODIUM
100,HEPARIN LOCK FLUSH,HEPARIN SODIUM
101,HEPARIN SODIUM PRESERVATIVE FREE,HEPARIN SODIUM
103,ESTINYL,ETHINYL ESTRADIOL
106,PANTOPAQUE,IOPHENDYLATE
107,DESOXYN,METHAMPHETAMINE HYDROCHLORIDE
111,LYNORAL,ETHINYL ESTRADIOL
113,DICUMAROL,DICUMAROL
121,AMINOHIPPURATE SODIUM,AMINOHIPPURATE SODIUM
122,MANNITOL 25%,MANNITOL
123,TUBOCURARINE CHLORIDE,TUBOCURARINE CHLORIDE
124,VERTAVIS,VERATRUM VIRIDE ROOT
125,KAPPADIONE,MENADIOL SODIUM DIPHOSPHATE
126,SULTRIN,TRIPLE SULFA (SULFABENZAMIDE;SULFACETAMIDE;SULFATHIAZOLE)
128,FURACIN,NITROFURAZONE
129,BENADRYL,DIPHENHYDRAMINE HYDROCHLORIDE
132,TRIDIONE,TRIMETHADIONE
135,FOLVITE,FOLIC ACID
137,PBZ,TRIPELENNAMINE HYDROCHLORIDE
138,PBZ,TRIPELENNAMINE CITRATE
139,D.H.E. 45,DIHYDROERGOTAMINE MESYLATE
140,AMINOSOL 5%,PROTEIN HYDROLYSATE
141,BAL,DIMERCAPROL
142,SODIUM SULAMYD,SULFACETAMIDE SODIUM
145,SOTRADECOL,SODIUM TETRADECYL SULFATE
147,ARALEN,CHLOROQUINE PHOSPHATE
148,ARALEN HYDROCHLORIDE,CHLOROQUINE HYDROCHLORIDE
149,MESANTOIN,MEPHENYTOIN
150,FOLVRON,FERROUS SULFATE; FOLIC ACID
151,METHERGINE,METHYLERGONOVINE MALEATE
153,DIASONE SODIUM,SULFOXONE SODIUM
154,BEROCCA PN,ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN E
156,DIENESTROL,DIENESTROL
157,DOLOPHINE HYDROCHLORIDE,METHADONE HYDROCHLORIDE
160,FOLIC ACID,FOLIC ACID
163,HYPROTIGEN 5%,PROTEIN HYDROLYSATE
164,PROPYLTHIOURACIL,PROPYLTHIOURACIL
165,HEAVY SOLUTION NUPERCAINE,DIBUCAINE HYDROCHLORIDE
167,GAMOPHEN,HEXACHLOROPHENE
168,KWELL,LINDANE
170,SULFONAMIDES DUPLEX,SULFADIAZINE; SULFAMERAZINE
171,NEOTRIZINE,TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)
